100;0,039
600;0,158
1100;0,125
1600;0,18
2100;0,171
2600;0,237
3100;0,289
3600;0,347
4100;0,406
4600;0,444
5100;0,551
5600;0,572
6008;0,642
6008;0,515
6008;0,298
6008;0,384
6008;0,315
6008;0,337
6008;0,285
6008;0,392
